topo	workload	sim_time_ms	pass1_ms	pass_avg_ms	reconfigs_trig	reconfigs_skip	retx	final_log
mixnet	18-mixtral-8x7b-train-128gpu	NO_STATS	-	-	-	-	-	
fattree	18-mixtral-8x7b-train-128gpu	582.977	0.916706	88.08	0	0	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_125210/18-mixtral-8x7b-train-128gpu__fattree_0415_125214
mixnet	18-mixtral-8x7b-train-128gpu-sew15	2393.75	0.916706	368.571	0	0	154	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_125210/18-mixtral-8x7b-train-128gpu-sew15__mixnet_OCS_0415_125214
fattree	18-mixtral-8x7b-train-128gpu-sew15	NO_STATS	-	-	-	-	-	
mixnet	18-mixtral-8x7b-train-128gpu-v4	ERR	-	-	-	-	-	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_125210/runs/005_18-mixtral-8x7b-train-128gpu-v4__mixnet.out
fattree	18-mixtral-8x7b-train-128gpu-v4	ERR	-	-	-	-	-	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_125210/runs/006_18-mixtral-8x7b-train-128gpu-v4__fattree.out
