step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,10718576640,0.199649,11.7244,2,1,1,8,DP,8,1,1339822080,7
1,fwd,attention_column,ALLGATHER,41943040,0.000781,11.7702,2,1,1,8,TP,2,1,20971520,1
2,fwd,attention_row,REDUCESCATTER,41943040,0.000781,11.8161,2,1,1,8,TP,2,1,20971520,1
3,fwd,mlp_column,ALLGATHER,41943040,0.000781,11.8620,2,1,1,8,TP,2,1,20971520,1
4,fwd,mlp_row,REDUCESCATTER,41943040,0.000781,11.9079,2,1,1,8,TP,2,1,20971520,1
5,fwd,attention_column,ALLGATHER,41943040,0.000781,11.9538,2,1,1,8,TP,2,1,20971520,1
6,fwd,attention_row,REDUCESCATTER,41943040,0.000781,11.9996,2,1,1,8,TP,2,1,20971520,1
7,fwd,mlp_column,ALLGATHER,41943040,0.000781,12.0455,2,1,1,8,TP,2,1,20971520,1
8,fwd,mlp_row,REDUCESCATTER,41943040,0.000781,12.0914,2,1,1,8,TP,2,1,20971520,1
9,fwd,attention_column,ALLGATHER,41943040,0.000781,12.1373,2,1,1,8,TP,2,1,20971520,1
10,fwd,attention_row,REDUCESCATTER,41943040,0.000781,12.1832,2,1,1,8,TP,2,1,20971520,1
11,fwd,mlp_column,ALLGATHER,41943040,0.000781,12.2290,2,1,1,8,TP,2,1,20971520,1
12,fwd,mlp_row,REDUCESCATTER,41943040,0.000781,12.2749,2,1,1,8,TP,2,1,20971520,1
13,fwd,attention_column,ALLGATHER,41943040,0.000781,12.3208,2,1,1,8,TP,2,1,20971520,1
14,fwd,attention_row,REDUCESCATTER,41943040,0.000781,12.3667,2,1,1,8,TP,2,1,20971520,1
15,fwd,mlp_column,ALLGATHER,41943040,0.000781,12.4126,2,1,1,8,TP,2,1,20971520,1
16,fwd,mlp_row,REDUCESCATTER,41943040,0.000781,12.4584,2,1,1,8,TP,2,1,20971520,1
17,fwd,attention_column,ALLGATHER,41943040,0.000781,12.5043,2,1,1,8,TP,2,1,20971520,1
