step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,5722603520,0.106592,10.2207,2,1,1,4,DP,4,1,1430650880,3
1,fwd,attention_column,ALLGATHER,33554432,0.000625,10.2806,2,1,1,4,TP,2,1,16777216,1
2,fwd,attention_row,REDUCESCATTER,33554432,0.000625,10.3405,2,1,1,4,TP,2,1,16777216,1
3,fwd,mlp_column,ALLGATHER,33554432,0.000625,10.4005,2,1,1,4,TP,2,1,16777216,1
4,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,10.4604,2,1,1,4,TP,2,1,16777216,1
5,fwd,attention_column,ALLGATHER,33554432,0.000625,10.5203,2,1,1,4,TP,2,1,16777216,1
6,fwd,attention_row,REDUCESCATTER,33554432,0.000625,10.5803,2,1,1,4,TP,2,1,16777216,1
7,fwd,mlp_column,ALLGATHER,33554432,0.000625,10.6402,2,1,1,4,TP,2,1,16777216,1
8,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,10.7001,2,1,1,4,TP,2,1,16777216,1
9,fwd,attention_column,ALLGATHER,33554432,0.000625,10.7600,2,1,1,4,TP,2,1,16777216,1
10,fwd,attention_row,REDUCESCATTER,33554432,0.000625,10.8200,2,1,1,4,TP,2,1,16777216,1
11,fwd,mlp_column,ALLGATHER,33554432,0.000625,10.8799,2,1,1,4,TP,2,1,16777216,1
12,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,10.9398,2,1,1,4,TP,2,1,16777216,1
13,fwd,attention_column,ALLGATHER,33554432,0.000625,10.9998,2,1,1,4,TP,2,1,16777216,1
14,fwd,attention_row,REDUCESCATTER,33554432,0.000625,11.0597,2,1,1,4,TP,2,1,16777216,1
15,fwd,mlp_column,ALLGATHER,33554432,0.000625,11.1196,2,1,1,4,TP,2,1,16777216,1
16,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,11.1796,2,1,1,4,TP,2,1,16777216,1
17,fwd,attention_column,ALLGATHER,33554432,0.000625,11.2395,2,1,1,4,TP,2,1,16777216,1
18,fwd,attention_row,REDUCESCATTER,33554432,0.000625,11.2994,2,1,1,4,TP,2,1,16777216,1
19,fwd,mlp_column,ALLGATHER,33554432,0.000625,11.3593,2,1,1,4,TP,2,1,16777216,1
20,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,11.4193,2,1,1,4,TP,2,1,16777216,1
21,fwd,attention_column,ALLGATHER,33554432,0.000625,11.4792,2,1,1,4,TP,2,1,16777216,1
22,fwd,attention_row,REDUCESCATTER,33554432,0.000625,11.5391,2,1,1,4,TP,2,1,16777216,1
23,fwd,mlp_column,ALLGATHER,33554432,0.000625,11.5991,2,1,1,4,TP,2,1,16777216,1
24,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,11.6590,2,1,1,4,TP,2,1,16777216,1
25,fwd,attention_column,ALLGATHER,33554432,0.000625,11.7189,2,1,1,4,TP,2,1,16777216,1
26,fwd,attention_row,REDUCESCATTER,33554432,0.000625,11.7788,2,1,1,4,TP,2,1,16777216,1
27,fwd,mlp_column,ALLGATHER,33554432,0.000625,11.8388,2,1,1,4,TP,2,1,16777216,1
28,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,11.8987,2,1,1,4,TP,2,1,16777216,1
29,fwd,attention_column,ALLGATHER,33554432,0.000625,11.9586,2,1,1,4,TP,2,1,16777216,1
30,fwd,attention_row,REDUCESCATTER,33554432,0.000625,12.0186,2,1,1,4,TP,2,1,16777216,1
31,fwd,mlp_column,ALLGATHER,33554432,0.000625,12.0785,2,1,1,4,TP,2,1,16777216,1
32,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,12.1384,2,1,1,4,TP,2,1,16777216,1
33,fwd,attention_column,ALLGATHER,33554432,0.000625,12.1983,2,1,1,4,TP,2,1,16777216,1
34,fwd,attention_row,REDUCESCATTER,33554432,0.000625,12.2583,2,1,1,4,TP,2,1,16777216,1
35,fwd,mlp_column,ALLGATHER,33554432,0.000625,12.3182,2,1,1,4,TP,2,1,16777216,1
36,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,12.3781,2,1,1,4,TP,2,1,16777216,1
37,fwd,attention_column,ALLGATHER,33554432,0.000625,12.4381,2,1,1,4,TP,2,1,16777216,1
38,fwd,attention_row,REDUCESCATTER,33554432,0.000625,12.4980,2,1,1,4,TP,2,1,16777216,1
39,fwd,mlp_column,ALLGATHER,33554432,0.000625,12.5579,2,1,1,4,TP,2,1,16777216,1
40,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,12.6178,2,1,1,4,TP,2,1,16777216,1
41,fwd,attention_column,ALLGATHER,33554432,0.000625,12.6778,2,1,1,4,TP,2,1,16777216,1
42,fwd,attention_row,REDUCESCATTER,33554432,0.000625,12.7377,2,1,1,4,TP,2,1,16777216,1
43,fwd,mlp_column,ALLGATHER,33554432,0.000625,12.7976,2,1,1,4,TP,2,1,16777216,1
44,fwd,mlp_row,REDUCESCATTER,33554432,0.000625,12.8576,2,1,1,4,TP,2,1,16777216,1
45,fwd,attention_column,ALLGATHER,33554432,0.000625,12.9175,2,1,1,4,TP,2,1,16777216,1
46,fwd,attention_row,REDUCESCATTER,33554432,0.000625,12.9774,2,1,1,4,TP,2,1,16777216,1
