step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,4883447808,0.090961,4.6466,8,1,1,5,DP,5,1,976689561,4
1,fwd,attention_column,ALLGATHER,50331648,0.000937,4.6945,8,1,1,5,TP,8,1,6291456,7
2,fwd,attention_row,REDUCESCATTER,50331648,0.000937,4.7424,8,1,1,5,TP,8,1,6291456,7
3,fwd,mlp_column,ALLGATHER,50331648,0.000937,4.7903,8,1,1,5,TP,8,1,6291456,7
4,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,4.8382,8,1,1,5,TP,8,1,6291456,7
5,fwd,attention_column,ALLGATHER,50331648,0.000937,4.8861,8,1,1,5,TP,8,1,6291456,7
6,fwd,attention_row,REDUCESCATTER,50331648,0.000937,4.9340,8,1,1,5,TP,8,1,6291456,7
7,fwd,mlp_column,ALLGATHER,50331648,0.000937,4.9819,8,1,1,5,TP,8,1,6291456,7
8,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.0298,8,1,1,5,TP,8,1,6291456,7
9,fwd,attention_column,ALLGATHER,50331648,0.000937,5.0777,8,1,1,5,TP,8,1,6291456,7
10,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.1255,8,1,1,5,TP,8,1,6291456,7
11,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.1734,8,1,1,5,TP,8,1,6291456,7
12,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.2213,8,1,1,5,TP,8,1,6291456,7
13,fwd,attention_column,ALLGATHER,50331648,0.000937,5.2692,8,1,1,5,TP,8,1,6291456,7
14,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.3171,8,1,1,5,TP,8,1,6291456,7
15,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.3650,8,1,1,5,TP,8,1,6291456,7
16,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.4129,8,1,1,5,TP,8,1,6291456,7
17,fwd,attention_column,ALLGATHER,50331648,0.000937,5.4608,8,1,1,5,TP,8,1,6291456,7
18,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.5087,8,1,1,5,TP,8,1,6291456,7
19,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.5566,8,1,1,5,TP,8,1,6291456,7
20,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.6045,8,1,1,5,TP,8,1,6291456,7
21,fwd,attention_column,ALLGATHER,50331648,0.000937,5.6523,8,1,1,5,TP,8,1,6291456,7
22,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.7002,8,1,1,5,TP,8,1,6291456,7
23,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.7481,8,1,1,5,TP,8,1,6291456,7
24,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.7960,8,1,1,5,TP,8,1,6291456,7
25,fwd,attention_column,ALLGATHER,50331648,0.000937,5.8439,8,1,1,5,TP,8,1,6291456,7
26,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.8918,8,1,1,5,TP,8,1,6291456,7
27,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.9397,8,1,1,5,TP,8,1,6291456,7
