step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,3121348608,0.058140,4.6175,8,2,1,3,DP,3,1,1040449536,2
1,fwd,attention_column,ALLGATHER,50331648,0.000937,4.6920,8,2,1,3,TP,8,1,6291456,7
2,fwd,attention_row,REDUCESCATTER,50331648,0.000937,4.7664,8,2,1,3,TP,8,1,6291456,7
3,fwd,mlp_column,ALLGATHER,50331648,0.000937,4.8409,8,2,1,3,TP,8,1,6291456,7
4,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,4.9154,8,2,1,3,TP,8,1,6291456,7
5,fwd,attention_column,ALLGATHER,50331648,0.000937,4.9898,8,2,1,3,TP,8,1,6291456,7
6,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.0643,8,2,1,3,TP,8,1,6291456,7
7,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.1387,8,2,1,3,TP,8,1,6291456,7
8,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.2132,8,2,1,3,TP,8,1,6291456,7
9,fwd,attention_column,ALLGATHER,50331648,0.000937,5.2876,8,2,1,3,TP,8,1,6291456,7
10,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.3621,8,2,1,3,TP,8,1,6291456,7
11,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.4366,8,2,1,3,TP,8,1,6291456,7
12,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.5110,8,2,1,3,TP,8,1,6291456,7
13,fwd,attention_column,ALLGATHER,50331648,0.000937,5.5855,8,2,1,3,TP,8,1,6291456,7
14,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.6599,8,2,1,3,TP,8,1,6291456,7
15,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.7344,8,2,1,3,TP,8,1,6291456,7
16,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.8088,8,2,1,3,TP,8,1,6291456,7
17,fwd,attention_column,ALLGATHER,50331648,0.000937,5.8833,8,2,1,3,TP,8,1,6291456,7
18,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.9578,8,2,1,3,TP,8,1,6291456,7
19,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.0322,8,2,1,3,TP,8,1,6291456,7
20,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.1067,8,2,1,3,TP,8,1,6291456,7
21,fwd,attention_column,ALLGATHER,50331648,0.000937,6.1811,8,2,1,3,TP,8,1,6291456,7
22,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.2556,8,2,1,3,TP,8,1,6291456,7
23,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.3300,8,2,1,3,TP,8,1,6291456,7
24,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.4045,8,2,1,3,TP,8,1,6291456,7
25,fwd,attention_column,ALLGATHER,50331648,0.000937,6.4790,8,2,1,3,TP,8,1,6291456,7
26,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.5534,8,2,1,3,TP,8,1,6291456,7
27,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.6279,8,2,1,3,TP,8,1,6291456,7
28,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.7023,8,2,1,3,TP,8,1,6291456,7
29,fwd,attention_column,ALLGATHER,50331648,0.000937,6.7768,8,2,1,3,TP,8,1,6291456,7
30,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.8512,8,2,1,3,TP,8,1,6291456,7
31,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.9257,8,2,1,3,TP,8,1,6291456,7
32,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,7.0002,8,2,1,3,TP,8,1,6291456,7
