step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,4779393024,0.089023,5.3226,8,2,1,4,DP,4,1,1194848256,3
1,fwd,attention_column,ALLGATHER,58720256,0.001094,5.3880,8,2,1,4,TP,8,1,7340032,7
2,fwd,attention_row,REDUCESCATTER,58720256,0.001094,5.4534,8,2,1,4,TP,8,1,7340032,7
3,fwd,mlp_column,ALLGATHER,58720256,0.001094,5.5188,8,2,1,4,TP,8,1,7340032,7
4,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,5.5842,8,2,1,4,TP,8,1,7340032,7
5,fwd,attention_column,ALLGATHER,58720256,0.001094,5.6496,8,2,1,4,TP,8,1,7340032,7
6,fwd,attention_row,REDUCESCATTER,58720256,0.001094,5.7150,8,2,1,4,TP,8,1,7340032,7
7,fwd,mlp_column,ALLGATHER,58720256,0.001094,5.7804,8,2,1,4,TP,8,1,7340032,7
8,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,5.8458,8,2,1,4,TP,8,1,7340032,7
9,fwd,attention_column,ALLGATHER,58720256,0.001094,5.9112,8,2,1,4,TP,8,1,7340032,7
10,fwd,attention_row,REDUCESCATTER,58720256,0.001094,5.9766,8,2,1,4,TP,8,1,7340032,7
11,fwd,mlp_column,ALLGATHER,58720256,0.001094,6.0420,8,2,1,4,TP,8,1,7340032,7
12,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,6.1074,8,2,1,4,TP,8,1,7340032,7
13,fwd,attention_column,ALLGATHER,58720256,0.001094,6.1728,8,2,1,4,TP,8,1,7340032,7
14,fwd,attention_row,REDUCESCATTER,58720256,0.001094,6.2382,8,2,1,4,TP,8,1,7340032,7
15,fwd,mlp_column,ALLGATHER,58720256,0.001094,6.3035,8,2,1,4,TP,8,1,7340032,7
16,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,6.3689,8,2,1,4,TP,8,1,7340032,7
17,fwd,attention_column,ALLGATHER,58720256,0.001094,6.4343,8,2,1,4,TP,8,1,7340032,7
18,fwd,attention_row,REDUCESCATTER,58720256,0.001094,6.4997,8,2,1,4,TP,8,1,7340032,7
19,fwd,mlp_column,ALLGATHER,58720256,0.001094,6.5651,8,2,1,4,TP,8,1,7340032,7
20,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,6.6305,8,2,1,4,TP,8,1,7340032,7
21,fwd,attention_column,ALLGATHER,58720256,0.001094,6.6959,8,2,1,4,TP,8,1,7340032,7
22,fwd,attention_row,REDUCESCATTER,58720256,0.001094,6.7613,8,2,1,4,TP,8,1,7340032,7
23,fwd,mlp_column,ALLGATHER,58720256,0.001094,6.8267,8,2,1,4,TP,8,1,7340032,7
24,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,6.8921,8,2,1,4,TP,8,1,7340032,7
25,fwd,attention_column,ALLGATHER,58720256,0.001094,6.9575,8,2,1,4,TP,8,1,7340032,7
26,fwd,attention_row,REDUCESCATTER,58720256,0.001094,7.0229,8,2,1,4,TP,8,1,7340032,7
27,fwd,mlp_column,ALLGATHER,58720256,0.001094,7.0883,8,2,1,4,TP,8,1,7340032,7
28,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,7.1537,8,2,1,4,TP,8,1,7340032,7
29,fwd,attention_column,ALLGATHER,58720256,0.001094,7.2191,8,2,1,4,TP,8,1,7340032,7
30,fwd,attention_row,REDUCESCATTER,58720256,0.001094,7.2845,8,2,1,4,TP,8,1,7340032,7
31,fwd,mlp_column,ALLGATHER,58720256,0.001094,7.3499,8,2,1,4,TP,8,1,7340032,7
32,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,7.4153,8,2,1,4,TP,8,1,7340032,7
33,fwd,attention_column,ALLGATHER,58720256,0.001094,7.4807,8,2,1,4,TP,8,1,7340032,7
34,fwd,attention_row,REDUCESCATTER,58720256,0.001094,7.5460,8,2,1,4,TP,8,1,7340032,7
35,fwd,mlp_column,ALLGATHER,58720256,0.001094,7.6114,8,2,1,4,TP,8,1,7340032,7
36,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,7.6768,8,2,1,4,TP,8,1,7340032,7
37,fwd,attention_column,ALLGATHER,58720256,0.001094,7.7422,8,2,1,4,TP,8,1,7340032,7
38,fwd,attention_row,REDUCESCATTER,58720256,0.001094,7.8076,8,2,1,4,TP,8,1,7340032,7
39,fwd,mlp_column,ALLGATHER,58720256,0.001094,7.8730,8,2,1,4,TP,8,1,7340032,7
40,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,7.9384,8,2,1,4,TP,8,1,7340032,7
41,fwd,attention_column,ALLGATHER,58720256,0.001094,8.0038,8,2,1,4,TP,8,1,7340032,7
42,fwd,attention_row,REDUCESCATTER,58720256,0.001094,8.0692,8,2,1,4,TP,8,1,7340032,7
43,fwd,mlp_column,ALLGATHER,58720256,0.001094,8.1346,8,2,1,4,TP,8,1,7340032,7
44,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,8.2000,8,2,1,4,TP,8,1,7340032,7
45,fwd,attention_column,ALLGATHER,58720256,0.001094,8.2654,8,2,1,4,TP,8,1,7340032,7
46,fwd,attention_row,REDUCESCATTER,58720256,0.001094,8.3308,8,2,1,4,TP,8,1,7340032,7
47,fwd,mlp_column,ALLGATHER,58720256,0.001094,8.3962,8,2,1,4,TP,8,1,7340032,7
48,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,8.4616,8,2,1,4,TP,8,1,7340032,7
49,fwd,attention_column,ALLGATHER,58720256,0.001094,8.5270,8,2,1,4,TP,8,1,7340032,7
50,fwd,attention_row,REDUCESCATTER,58720256,0.001094,8.5924,8,2,1,4,TP,8,1,7340032,7
51,fwd,mlp_column,ALLGATHER,58720256,0.001094,8.6578,8,2,1,4,TP,8,1,7340032,7
52,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,8.7231,8,2,1,4,TP,8,1,7340032,7
53,fwd,attention_column,ALLGATHER,58720256,0.001094,8.7885,8,2,1,4,TP,8,1,7340032,7
54,fwd,attention_row,REDUCESCATTER,58720256,0.001094,8.8539,8,2,1,4,TP,8,1,7340032,7
55,fwd,mlp_column,ALLGATHER,58720256,0.001094,8.9193,8,2,1,4,TP,8,1,7340032,7
56,fwd,mlp_row,REDUCESCATTER,58720256,0.001094,8.9847,8,2,1,4,TP,8,1,7340032,7
