step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,3826188288,0.071268,4.6323,8,1,1,4,DP,4,1,956547072,3
1,fwd,attention_column,ALLGATHER,50331648,0.000937,4.6933,8,1,1,4,TP,8,1,6291456,7
2,fwd,attention_row,REDUCESCATTER,50331648,0.000937,4.7542,8,1,1,4,TP,8,1,6291456,7
3,fwd,mlp_column,ALLGATHER,50331648,0.000937,4.8152,8,1,1,4,TP,8,1,6291456,7
4,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,4.8761,8,1,1,4,TP,8,1,6291456,7
5,fwd,attention_column,ALLGATHER,50331648,0.000937,4.9370,8,1,1,4,TP,8,1,6291456,7
6,fwd,attention_row,REDUCESCATTER,50331648,0.000937,4.9980,8,1,1,4,TP,8,1,6291456,7
7,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.0589,8,1,1,4,TP,8,1,6291456,7
8,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.1198,8,1,1,4,TP,8,1,6291456,7
9,fwd,attention_column,ALLGATHER,50331648,0.000937,5.1808,8,1,1,4,TP,8,1,6291456,7
10,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.2417,8,1,1,4,TP,8,1,6291456,7
11,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.3026,8,1,1,4,TP,8,1,6291456,7
12,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.3636,8,1,1,4,TP,8,1,6291456,7
13,fwd,attention_column,ALLGATHER,50331648,0.000937,5.4245,8,1,1,4,TP,8,1,6291456,7
14,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.4854,8,1,1,4,TP,8,1,6291456,7
15,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.5464,8,1,1,4,TP,8,1,6291456,7
16,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.6073,8,1,1,4,TP,8,1,6291456,7
17,fwd,attention_column,ALLGATHER,50331648,0.000937,5.6683,8,1,1,4,TP,8,1,6291456,7
18,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.7292,8,1,1,4,TP,8,1,6291456,7
19,fwd,mlp_column,ALLGATHER,50331648,0.000937,5.7901,8,1,1,4,TP,8,1,6291456,7
20,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,5.8511,8,1,1,4,TP,8,1,6291456,7
21,fwd,attention_column,ALLGATHER,50331648,0.000937,5.9120,8,1,1,4,TP,8,1,6291456,7
22,fwd,attention_row,REDUCESCATTER,50331648,0.000937,5.9729,8,1,1,4,TP,8,1,6291456,7
23,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.0339,8,1,1,4,TP,8,1,6291456,7
24,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.0948,8,1,1,4,TP,8,1,6291456,7
25,fwd,attention_column,ALLGATHER,50331648,0.000937,6.1557,8,1,1,4,TP,8,1,6291456,7
26,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.2167,8,1,1,4,TP,8,1,6291456,7
27,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.2776,8,1,1,4,TP,8,1,6291456,7
28,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.3386,8,1,1,4,TP,8,1,6291456,7
29,fwd,attention_column,ALLGATHER,50331648,0.000937,6.3995,8,1,1,4,TP,8,1,6291456,7
30,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.4604,8,1,1,4,TP,8,1,6291456,7
31,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.5214,8,1,1,4,TP,8,1,6291456,7
32,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.5823,8,1,1,4,TP,8,1,6291456,7
33,fwd,attention_column,ALLGATHER,50331648,0.000937,6.6432,8,1,1,4,TP,8,1,6291456,7
34,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.7042,8,1,1,4,TP,8,1,6291456,7
35,fwd,mlp_column,ALLGATHER,50331648,0.000937,6.7651,8,1,1,4,TP,8,1,6291456,7
36,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,6.8260,8,1,1,4,TP,8,1,6291456,7
37,fwd,attention_column,ALLGATHER,50331648,0.000937,6.8870,8,1,1,4,TP,8,1,6291456,7
38,fwd,attention_row,REDUCESCATTER,50331648,0.000937,6.9479,8,1,1,4,TP,8,1,6291456,7
39,fwd,mlp_column,ALLGATHER,50331648,0.000937,7.0089,8,1,1,4,TP,8,1,6291456,7
40,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,7.0698,8,1,1,4,TP,8,1,6291456,7
41,fwd,attention_column,ALLGATHER,50331648,0.000937,7.1307,8,1,1,4,TP,8,1,6291456,7
42,fwd,attention_row,REDUCESCATTER,50331648,0.000937,7.1917,8,1,1,4,TP,8,1,6291456,7
43,fwd,mlp_column,ALLGATHER,50331648,0.000937,7.2526,8,1,1,4,TP,8,1,6291456,7
44,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,7.3135,8,1,1,4,TP,8,1,6291456,7
45,fwd,attention_column,ALLGATHER,50331648,0.000937,7.3745,8,1,1,4,TP,8,1,6291456,7
46,fwd,attention_row,REDUCESCATTER,50331648,0.000937,7.4354,8,1,1,4,TP,8,1,6291456,7
47,fwd,mlp_column,ALLGATHER,50331648,0.000937,7.4963,8,1,1,4,TP,8,1,6291456,7
48,fwd,mlp_row,REDUCESCATTER,50331648,0.000937,7.5573,8,1,1,4,TP,8,1,6291456,7
49,fwd,attention_column,ALLGATHER,50331648,0.000937,7.6182,8,1,1,4,TP,8,1,6291456,7
50,fwd,attention_row,REDUCESCATTER,50331648,0.000937,7.6792,8,1,1,4,TP,8,1,6291456,7
